slide_id,gm_pixel_count,amyloid_pixel_count,gm_area_mm2,amyloid_area_mm2,amyloid_density_percent
NA04-191_H02IBC428P-232904_level-0,2152263100.340014,2515754.0,172.00733887237269,0.20105729,0.1168887829952426
NA04-191_H02N23489P12-212012_level-0,1194858947.003071,1262368.0,95.49227869463309,0.10088756,0.1056499653515708
NA04-191_H02N23TB509P-187802_level-0,2319580445.1816487,18845836.0,185.3792222768013,1.5061458,0.8124674472276456
NA04-240_H02FBC343P-204410_level-0,2229950803.923452,56544524.0,178.2160849844915,4.5189986,2.535685049577615
NA05-111_H02P23TB515P-192965_level-0,2126431059.4134583,18129036.0,169.94286050227146,1.4488597,0.852556963756949
NA05-200_H02M23471P12-211193_level-0,2087665268.1318629,378780.0,166.8447259867581,0.03027183,0.0181437140779857
NA06-239_H02N23486P12-216197_level-0,1641730231.4219365,3772480.0,131.20591446677687,0.30149394,0.22978685371224
NA06-239_H02N23486P12-216200_level-0,2478667861.297335,37125010.0,198.09337562070152,2.9670045,1.497780795690744
NA06-239_H02N23486P12-216201_level-0,1304337822.5762634,2109209.0,104.24175270044094,0.1685665,0.161707272578713
NA07-121_H02P23TB518P-231970_level-0,1349534220.4727898,0.0,107.85381673088882,0.0,0.0
NA07-121_H02P23TB518P-231972_level-0,3119203669.430449,44239692.0,249.28454262627625,3.535605,1.4183009169029774
NA07-121_H02P23TB518P-231973_level-0,3965028167.943692,20854114.0,316.8822360120606,1.666646,0.5259512255081763
NA07-121_H02P23TB518P-231978_level-0,2938928338.520111,40774760.0,234.87706617540687,3.25869,1.387402427939079
NA07-144_H02IBC428P-233684_level-0,2262527585.528459,10670767.0,180.81959824084876,0.8528002,0.4716303977806902
NA07-278_H02P23TB518P-231968_level-0,2000214883.8999631,20209488.0,159.8557533687175,1.615128,1.010365911940826
NA08-013_H02P23TB516P-191509_level-0,1982860133.2802024,651489.0,158.46877402105912,0.05206654,0.0328560240366251
NA08-089_H02IBC428P-232905_level-0,809653461.5845996,0.0,64.70692979588348,0.0,0.0
NA08-089_H02IBC428P-232907_level-0,2425528289.6203804,119561.0,193.8464987813752,0.009555231,0.0049292769838818
NA08-089_H02IBC428P-232911_level-0,3348592366.46479,104875.0,267.61712442728583,0.008381536,0.0031319132691459
NA09-034_H02N23496P12-211886_level-0,1995967112.5303388,2857351.0,159.5162744967748,0.22835746,0.1431562170038678
NA09-034_H02N23496P12-211887_level-0,1957670808.9060488,14649127.0,156.4556611014971,1.1707479,0.7482937133273821
NA09-404_H02P23TB518P-229562_level-0,704483072.8752202,98029.0,56.30178700120586,0.007834408,0.0139150262354505
NA09-404_H02P23TB518P-229563_level-0,2730724631.519731,136961.0,218.23757373656852,0.010945826,0.0050155551356912
NA09-404_H02P23TB518P-229564_level-0,2610942172.1506763,3379198.0,208.66464462933985,0.27006313,0.1294244803796916
NA09-404_H02P23TB518P-229565_level-0,680841437.5818677,224926.0,54.41236429412219,0.017975928,0.0330364770858117
NA09-404_H02P23TB518P-229566_level-0,3223126152.337807,30497.0,257.5899536752694,0.0024372987,0.0009461932101813
NA09-404_H02P23TB518P-229567_level-0,2779330903.759068,5126078.0,222.12215250348305,0.40967253,0.1844356917524925
